feature,mi_score
JPX_Platinum_Mini_Futures_Close_lag_7_ma,0.0755700228252385
JPX_Gold_Rolling-Spot_Futures_High_lag_7_ma,0.07550829161092265
JPX_Gold_Rolling-Spot_Futures_Low_lag_2_ma,0.07521358400355371
JPX_Gold_Mini_Futures_Close_rolling_median_10,0.07511392996881217
JPX_Gold_Mini_Futures_Low_lag_7_ma,0.07504058363104571
JPX_Gold_Rolling-Spot_Futures_Low_lag_3_ma,0.07501127874939462
JPX_Gold_Mini_Futures_Close_rolling_median_60,0.07480047370872134
JPX_Gold_Standard_Futures_Low_lag_5_ma,0.07478535636949912
JPX_Gold_Rolling-Spot_Futures_Open_lag_1_ma,0.07455195046993479
JPX_Platinum_Standard_Futures_Open_lag_7_ma,0.0743967123969238
JPX_Gold_Mini_Futures_Low_lag_3_ma,0.0742391801157245
JPX_Gold_Standard_Futures_Low_rolling_median_10,0.07419964217218311
JPX_Gold_Mini_Futures_Low_rolling_median_60,0.07413111422125551
JPX_Gold_Standard_Futures_Open_lag_7_ma,0.07410199662961947
JPX_Gold_Mini_Futures_open_interest_max_60,0.0740257411735743
JPX_Gold_Standard_Futures_Low_lag_7_ma,0.07398656698922768
JPX_Gold_Mini_Futures_Low_lag_4_ma,0.07382464697773417
JPX_Gold_Rolling-Spot_Futures_High_ma_60,0.07350410574772415
JPX_Gold_Rolling-Spot_Futures_High_lag_2_ma,0.07349026095772482
JPX_Platinum_Standard_Futures_Low_lag_7_ma,0.07348047217790832
JPX_Gold_Standard_Futures_Low_lag_4_ma,0.07347070737553762
JPX_Gold_Standard_Futures_Low_lag_3_ma,0.07343157476756668
JPX_Gold_Mini_Futures_Open_lag_7_ma,0.07332029452652078
JPX_Gold_Mini_Futures_Low_rolling_median_10,0.07323751375376819
JPX_Gold_Standard_Futures_Close_rolling_median_60,0.07319895305007273
JPX_Gold_Mini_Futures_Close_min_5,0.07290174042659903
pair_19_corr_60,0.0724541945428987
JPX_Gold_Standard_Futures_Close_min_5,0.0723790142764793
JPX_Platinum_Mini_Futures_High_lag_7_ma,0.07214695779533997
JPX_Gold_Rolling-Spot_Futures_High_rolling_median_60,0.07190646624792763
JPX_Platinum_Standard_Futures_Close_volatility_60,0.07177709463968451
JPX_Gold_Rolling-Spot_Futures_Open_lag_7_ma,0.0716499865945095
JPX_Gold_Mini_Futures_Open_rolling_median_60,0.07125303773157343
JPX_Platinum_Standard_Futures_Close_min_60,0.07120657204529213
LME_PB_Close_ma_60,0.07106946257126445
JPX_Gold_Standard_Futures_High_min_5,0.07097813236510131
JPX_Gold_Mini_Futures_High_min_5,0.07055470981708556
LME_ZS_Close_max_5,0.07039777644508671
JPX_Platinum_Mini_Futures_Low_lag_7_ma,0.07033982258143734
JPX_Gold_Rolling-Spot_Futures_open_interest_lag_5_ma,0.07020903887257468
LME_CA_Close_rolling_median_60,0.07020267457788387
JPX_Platinum_Standard_Futures_Low_lag_1_ma,0.07016760080087714
JPX_Platinum_Mini_Futures_Low_lag_1_ma,0.07012010927028722
JPX_Platinum_Mini_Futures_Close_lag_2_ma,0.06996163644702058
JPX_Gold_Standard_Futures_Open_rolling_median_60,0.0696244579167522
JPX_Gold_Mini_Futures_Open_ma_10,0.0695873630221282
JPX_Platinum_Standard_Futures_Close_lag_3_ma,0.06956666490268404
JPX_Gold_Rolling-Spot_Futures_open_interest_lag_4_ma,0.06919303453660941
JPX_Platinum_Standard_Futures_High_ma_20,0.06902565288879181
JPX_Gold_Rolling-Spot_Futures_Close_rolling_median_60,0.06894983053909254
JPX_Gold_Standard_Futures_Low_ma_10,0.06894445515712544
JPX_Gold_Rolling-Spot_Futures_Close_ma_5,0.06894115619349606
JPX_Platinum_Mini_Futures_High_ma_20,0.06890581126325568
JPX_Gold_Rolling-Spot_Futures_Close_rolling_median_10,0.06882886056941029
JPX_Platinum_Standard_Futures_Low_min_20,0.06865837920739004
JPX_Gold_Rolling-Spot_Futures_Low_ma_5,0.06858876058287056
JPX_Platinum_Standard_Futures_Close_lag_7_ma,0.0685881926297327
LME_PB_Close_lag_5_ma,0.0685722599405274
JPX_Platinum_Mini_Futures_Open_volatility_10,0.06851285284052899
JPX_Gold_Standard_Futures_Open_rolling_median_10,0.06833917123504119
JPX_Gold_Standard_Futures_Open_ma_10,0.06833352755619959
JPX_Platinum_Mini_Futures_High_lag_2_ma,0.0683194581044102
JPX_Gold_Mini_Futures_Open_std_5,0.06829548798010965
JPX_Gold_Rolling-Spot_Futures_Close_rolling_median_5,0.06825989347406658
JPX_Platinum_Standard_Futures_Low_lag_4,0.06816775488937843
JPX_Gold_Mini_Futures_Open_rolling_median_10,0.06807516549575254
JPX_Gold_Mini_Futures_Low_ma_10,0.06803335485966233
JPX_Gold_Mini_Futures_open_interest_rolling_peak_trough_60,0.0679699331897976
LME_CA_Close_max_5,0.06786150028699289
JPX_Platinum_Mini_Futures_Low_min_20,0.06785944462766125
JPX_Platinum_Standard_Futures_Low_lag_2_ma,0.06783476662122734
LME_PB_Close_lag_1,0.0678081250114202
JPX_Gold_Standard_Futures_High_rolling_median_10,0.06768866726770906
JPX_Platinum_Mini_Futures_Open_lag_1_ma,0.06744202021468126
JPX_Gold_Rolling-Spot_Futures_Close_ma_10,0.06742152127820766
JPX_Gold_Rolling-Spot_Futures_open_interest_min_5,0.06719106394665264
JPX_Gold_Mini_Futures_High_rolling_median_10,0.0671420365444817
JPX_Gold_Rolling-Spot_Futures_High_rolling_median_20,0.06698734208274981
JPX_Platinum_Standard_Futures_Close_lag_2_ma,0.0667717116342672
LME_CA_Close_ma_60,0.06673699777105924
LME_AH_Close_min_10,0.06669367004271631
JPX_Platinum_Mini_Futures_Low_lag_2_ma,0.06663116629210908
JPX_Platinum_Mini_Futures_Close_lag_3_ma,0.06652887480601422
JPX_Gold_Standard_Futures_Open_rolling_median_20,0.06628610047184402
JPX_Gold_Rolling-Spot_Futures_Low_rolling_median_60,0.06623441749053605
JPX_Platinum_Standard_Futures_High_lag_2_ma,0.06614731176974775
US_Stock_HAL_adj_volume,0.06593825774074258
JPX_Gold_Mini_Futures_Low_rolling_median_5,0.06582932223890925
JPX_Gold_Standard_Futures_Close_ma_10,0.06577223798388676
JPX_Platinum_Mini_Futures_High_lag_3_ma,0.06566235044401836
JPX_Gold_Rolling-Spot_Futures_open_interest_ma_20,0.06538722373412842
JPX_RSS3_Rubber_Futures_settlement_price,0.06531633181777874
JPX_Gold_Rolling-Spot_Futures_open_interest_volatility_20,0.06530482731922405
LME_PB_Close_max_60,0.06527572482108202
JPX_US_ratio,0.06520334696286767
JPX_Gold_Standard_Futures_Low_min_5,0.06518998582611868
JPX_Gold_Mini_Futures_High_ma_10,0.06507327962876897
JPX_Platinum_Mini_Futures_Low_lag_4,0.06504821158830598
JPX_Gold_Rolling-Spot_Futures_Open_ma_5,0.06502633320176354
JPX_RSS3_Rubber_Futures_Close,0.06495634793066607
JPX_Gold_Mini_Futures_Low_min_5,0.06487704364705138
JPX_Gold_Standard_Futures_High_ma_10,0.06472567722929767
JPX_Platinum_Mini_Futures_High_lag_4,0.0646654423298223
